Tijdstempel,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,I have used ChatGPT to help me with some of my study assignments ,When is your birthday (date)?,age,How many students do you estimate there are in the room?,Did you stand up to come to your previous answer    ?,What is your stress level (0-100)?,How many hours per week do you do sports (in whole hours)? ,Give a random number,Time you went to bed Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
2023-04-04 12:16:05.346,AI,1.0,0.0,1.0,0.0,1,8,1999-05-14,23.0,100.0,0.0,50.0,1.0,1,4 :30,Work,Relationships
2023-04-04 12:08:33.342,AI,1.0,0.0,1.0,0.0,5,1,1997-11-23,25.0,319.0,0.0,100.0,0.0,69,23:30,Ashes,Not ashes
2023-04-04 12:08:36.017,AI,0.0,0.0,0.0,0.0,1,8,,25.0,600.0,0.0,60.0,2.0,42,23:00,good food,good sleep
2023-04-04 12:08:37.501,AI,0.0,0.0,1.0,0.0,2,0,,26.0,220.0,0.0,20.0,5.0,17,23:30,Sports,Friends
2023-04-04 12:08:51.909,Data Mining,1.0,1.0,1.0,1.0,1,1,1996-06-25,26.0,100.0,0.0,50.0,5.0,12,23:00,Gym,Piano
2023-04-04 12:08:59.019,Quantitative Risk Management,0.0,0.0,1.0,0.0,1,1,1998-08-18,24.0,300.0,0.0,65.0,10.0,874,23:00,Relax,Sun
2023-04-04 12:08:59.153,BA,1.0,0.0,1.0,1.0,2,1,2000-03-13,23.0,500.0,0.0,80.0,5.0,13,00:00,Coffee,Sunny weather
2023-04-04 12:09:02.275,AI,1.0,0.0,1.0,1.0,1,1,1999-07-21,23.0,150.0,0.0,100.0,7.0,27,23:00,Good code,Good code
2023-04-04 12:09:12.129,AI,1.0,1.0,1.0,1.0,1,1,2000-03-08,23.0,600.0,0.0,30.0,4.0,8,00:00,When the sun shines,If I am able to sport
2023-04-04 12:09:14.858,Comp Sci,0.0,0.0,1.0,0.0,1,8,1996-11-24,26.0,525.0,0.0,65.0,5.0,3.14,22:30,Expierence ,Expierence
2023-04-04 12:09:17.895,Quantitative Risk Management,0.0,1.0,1.0,1.0,2,8,1998-12-07,24.0,570.0,0.0,70.0,6.0,777,00:00,Experience a serotonin molecule ,Experience another serotonin molecule 
2023-04-04 12:09:18.280,AI,1.0,0.0,1.0,1.0,1,1,1999-01-02,24.0,400.0,0.0,10.0,7.0,100,00:15,You,Finally losing my virginity
2023-04-04 12:09:21.912,CS,0.0,0.0,1.0,1.0,1,1,1999-11-14,23.0,550.0,1.0,100.0,0.0,28482947291,7 :00,delicious food,nothing
2023-04-04 12:09:22.446,AI,1.0,1.0,1.0,1.0,1,1,,23.0,500.0,1.0,58.0,5.0,696969,04:00,Netflix and,Chill
2023-04-04 12:09:26.085,CS,1.0,0.0,1.0,1.0,1,8,,22.0,450.0,0.0,15.0,10.0,14,02:00,Something surprising emerging,Nothing bad happened
2023-04-04 12:09:27.778,CS,0.0,1.0,1.0,1.0,1,0,,22.0,230.0,0.0,42.0,3.0,42,4 :30,Coffee ,Engaging activities 
2023-04-04 12:09:33.158,BA,1.0,0.0,1.0,1.0,2,1,2000-09-25,22.0,300.0,1.0,50.0,3.0,25,23:00,Sun,Food
2023-04-04 12:09:43.636,AI,1.0,1.0,1.0,1.0,1,1,1999-02-04,24.0,600.0,0.0,0.0,6.0,666,00:00,Coffee,A good night sleep
2023-04-04 12:09:43.693,AI,1.0,1.0,1.0,1.0,1,1,1999-11-27,23.0,600.0,0.0,30.0,12.0,4153,22:45,Sunny weather,Going to the gym
2023-04-04 12:09:44.564,AI,1.0,0.0,1.0,0.0,1,1,1997-12-29,25.0,750.0,0.0,77.0,6.0,866,00:30,Thursday ,Saturday
2023-04-04 12:09:50.577,BA,1.0,1.0,1.0,1.0,2,1,2000-02-09,23.0,534.0,0.0,40.0,4.0,93,00:15,Sunshine,Friends or family 
2023-04-04 12:09:50.770,Neuroscience,0.0,0.0,1.0,0.0,2,0,1999-05-09,23.0,350.0,0.0,70.0,8.0,9,22:30,Good food ,Good company
2023-04-04 12:09:52.061,AI,1.0,0.0,0.0,0.0,1,1,1999-05-14,23.0,150.0,0.0,100.0,5.0,290,04:00,Getting things done,Creating
2023-04-04 12:09:52.693,Comp Sci,0.0,1.0,1.0,0.0,1,8,1997-11-11,25.0,300.0,0.0,50.0,2.0,182638,00:00,No task,Alone
2023-04-04 12:09:54.193,BA,1.0,0.0,1.0,0.0,2,0,,25.0,800.0,0.0,70.0,0.0,90,00:00,eat well,sleep well
2023-04-04 12:09:58.524,AI,1.0,1.0,1.0,1.0,2,1,1997-08-08,25.0,516.0,0.0,6.0,1.0,666,00:30,The sun,Friends and food
2023-04-04 12:09:58.893,CS,0.0,0.0,1.0,0.0,2,1,1998-05-11,24.0,85.0,0.0,80.0,0.0,11,00:00,Good food,Productivity
2023-04-04 12:09:59.865,CS,1.0,0.0,1.0,1.0,2,0,2002-09-15,20.0,450.0,0.0,70.0,2.0,96,02:00,Eating chocolate,Getting a high grade 
2023-04-04 12:10:03.352,BA,1.0,0.0,1.0,0.0,1,1,1997-04-26,25.0,400.0,0.0,99.0,2.0,4,02:00,Being productive ,Having a good meal
2023-04-04 12:10:04.711,CS,1.0,0.0,0.0,0.0,1,1,2000-10-24,22.0,380.0,0.0,80.0,8.0,30,2 :45,food ,game
2023-04-04 12:10:09.143,AI,1.0,0.0,0.0,1.0,4,8,2002-07-05,20.0,200.0,0.0,10.0,5.0,189572,01:00,Good night rest,No anxiety
2023-04-04 12:10:10.593,CS,1.0,0.0,1.0,0.0,2,8,2000-01-31,23.0,449.0,0.0,67.0,2.0,7,00:30,Family ,Good food
2023-04-04 12:10:11.249,CS,1.0,0.0,1.0,0.0,2,1,1997-05-03,25.0,600.0,0.0,80.0,2.0,7,22:20,blue skies,lakes/beach
