Tijdstempel,programme,course_ML,course_retrieval,course_statistics,course_databases,gender,ChatGPT,birthday,age,students_in_room,prev_answer_stand,stress_level,sports_per_week,random_number,bed_time,good_day_(1),good_day_(2)
2023-04-04 12:16:05.346,AI,1,0,1,0,1,8,1999-05-14,23.0,100,0,50,1,1,04:30:00,Work,Relationships
2023-04-04 12:08:33.342,AI,1,0,1,0,5,1,1997-11-23,25.0,319,NaN,100,0,69,23:30:00,Ashes,Not ashes
2023-04-04 12:08:36.017,AI,0,0,0,0,1,8,,,600,0,60,2,42,23:00:00,good food,good sleep
2023-04-04 12:08:37.501,AI,0,0,1,0,2,0,,,220,0,20,5,17,23:30:00,Sports,Friends
2023-04-04 12:08:51.909,Data Mining,1,1,1,1,1,1,1996-06-25,26.0,100,NaN,50,5,12,23:00:00,Gym,Piano
2023-04-04 12:08:59.019,QRM,0,0,1,0,1,1,1998-08-18,24.0,300,0,65,10,874,23:00:00,Relax,Sun
2023-04-04 12:08:59.153,BA,1,0,1,1,2,1,2000-03-13,23.0,500,0,80,5,13,00:00:00,Coffee,Sunny weather
2023-04-04 12:09:02.275,AI,1,0,1,1,1,1,1999-07-21,23.0,150,0,100,7,27,23:00:00,Good code,Good code
2023-04-04 12:09:12.129,AI,1,1,1,1,1,1,2000-03-08,23.0,600,0,30,4,8,00:00:00,When the sun shines,If I am able to sport
2023-04-04 12:09:14.858,Comp Sci,0,0,NaN,0,1,8,1996-11-24,26.0,525,0,65,5,3.14,22:30:00,Expierence ,Expierence
2023-04-04 12:09:17.895,QRM,0,1,1,1,2,8,1998-12-07,24.0,570,0,70,6,777,00:00:00,Experience a serotonin molecule ,Experience another serotonin molecule 
2023-04-04 12:09:18.280,AI,1,0,1,1,1,1,1999-01-02,24.0,400,0,10,7,100,00:15:00,You,Finally losing my virginity
2023-04-04 12:09:21.912,CS,0,0,1,1,1,1,1999-11-14,23.0,550,1,100,0,28482947291,07:00:00,delicious food,nothing
2023-04-04 12:09:22.446,AI,1,1,1,1,1,1,,,NaN,1,NaN,NaN,696969,04:00:00,Netflix and,Chill
2023-04-04 12:09:26.085,CS,1,0,1,1,1,8,,,450,0,15,10,14,02:00:00,Something surprising emerging,Nothing bad happened
2023-04-04 12:09:27.778,CS,0,1,1,1,1,0,,,230,0,42,3,42,04:30:00,Coffee ,Engaging activities 
2023-04-04 12:09:33.158,BA,1,0,1,1,2,1,2000-09-25,22.0,300,1,50,3,25,23:00:00,Sun,Food
2023-04-04 12:09:43.636,AI,1,1,1,1,1,1,1999-02-04,24.0,600,0,0,6,666,00:00:00,Coffee,A good night sleep
2023-04-04 12:09:43.693,AI,1,1,1,1,1,1,1999-11-27,23.0,600,0,30,12,4153,22:45:00,Sunny weather,Going to the gym
2023-04-04 12:09:44.564,AI,1,0,1,0,1,1,1997-12-29,25.0,750,0,77,6,866,00:30:00,Thursday ,Saturday
2023-04-04 12:09:50.577,BA,1,1,1,1,2,1,2000-02-09,23.0,534,0,40,4,93,00:15:00,Sunshine,Friends or family 
2023-04-04 12:09:50.770,Neur sci,0,0,1,0,2,0,1999-05-09,23.0,350,0,70,8,9,22:30:00,Good food ,Good company
2023-04-04 12:09:52.061,AI,1,0,0,0,1,1,1999-05-14,23.0,150,0,100,NaN,290,04:00:00,Getting things done,Creating
2023-04-04 12:09:52.693,Comp Sci,0,1,1,0,1,8,1997-11-11,25.0,300,0,50,2,182638,00:00:00,No task,Alone
2023-04-04 12:09:54.193,BA,1,0,1,0,2,0,,,800,0,70,0,90,00:00:00,eat well,sleep well
2023-04-04 12:09:58.524,AI,1,1,1,1,2,1,1997-08-08,25.0,516,0,6,1,666,00:30:00,The sun,Friends and food
2023-04-04 12:09:58.893,CS,0,0,1,0,2,1,1998-05-11,24.0,85,0,80,0,11,00:00:00,Good food,Productivity
2023-04-04 12:09:59.865,CS,1,0,1,1,2,0,2002-09-15,20.0,450,0,70,2,96,02:00:00,Eating chocolate,Getting a high grade 
2023-04-04 12:10:03.352,BA,1,0,1,0,1,1,1997-04-26,25.0,400,0,99,2,4,02:00:00,Being productive ,Having a good meal
2023-04-04 12:10:04.711,CS,1,0,0,0,1,1,2000-10-24,22.0,380,NaN,80,8,30,02:45:00,food ,game
2023-04-04 12:10:09.143,AI,1,0,NaN,1,4,8,2002-07-05,20.0,200,0,10,5,189572,01:00:00,Good night rest,No anxiety
2023-04-04 12:10:10.593,CS,1,0,1,0,2,8,2000-01-31,23.0,449,0,67,2,7,00:30:00,Family ,Good food
2023-04-04 12:10:11.249,CS,1,0,1,0,2,1,1997-05-03,25.0,600,0,80,2,7,22:20:00,blue skies,lakes/beach
2023-04-04 12:10:13.522,CS,NaN,NaN,1,1,1,0,1999-03-31,24.0,500,NaN,90,8,24,00:00:00,Good weather,No assigment
2023-04-04 12:10:14.488,CS,0,0,1,1,2,1,,,200,0,30,8,27,23:30:00,sunny days,good meals
2023-04-04 12:10:15.376,CS,1,0,NaN,0,2,0,1998-12-18,24.0,400,0,10,4,25,02:00:00,Slept well,Food 
2023-04-04 12:10:16.574,Finance,1,1,1,1,1,8,1998-02-17,25.0,400,0,80,3,11,00:00:00,Friends,Family
2023-04-04 12:10:17.113,AI,1,1,1,0,2,1,1999-08-22,23.0,400,0,80,6,69,22:30:00,A sunny day ,If I had a nice workout 
2023-04-04 12:10:17.590,AI,0,1,1,0,2,1,1998-09-28,24.0,500,0,50,4,56,23:30:00,Sunny,Good food 
2023-04-04 12:10:18.395,CS,1,1,1,1,1,1,2001-07-05,21.0,300,0,50,6,10,06:00:00,Feeling productive,Exercised
2023-04-04 12:10:21.433,AI,1,1,1,1,2,1,1999-03-12,24.0,350,0,40,8,9,23:30:00,Good food,Nice people
2023-04-04 12:10:26.672,NaN,1,1,1,1,2,1,1997-12-14,25.0,400,0,90,4,3,01:00:00,No obligations,Being outside in the sun
2023-04-04 12:10:31.796,CS,1,0,1,1,2,1,2001-10-31,21.0,300,0,NaN,2,2,04:00:00,good morning routine,sunny weather
2023-04-04 12:10:34.539,Comp Sci,1,0,1,1,2,1,2001-01-10,22.0,270,NaN,39,10,987654321123456000,,Family!,Friends!
2023-04-04 12:10:36.031,AI,1,1,1,0,2,0,,,180,0,25,5,66,23:30:00,Good weather ,Cats 
2023-04-04 12:10:36.460,CS,1,0,1,0,1,1,1996-04-24,26.0,230,0,15,12,99,01:00:00,food,sex
2023-04-04 12:10:37.990,CS,1,0,1,0,7,1,1999-08-08,23.0,500,0,30,4,3,00:00:00,bread,coffee
2023-04-04 12:10:38.254,Hum Lang Tech,1,0,0,0,2,8,1994-06-18,28.0,400,0,55,4,4,00:30:00,coffee,good sleep
2023-04-04 12:10:38.729,AI,0,0,1,0,1,1,1998-09-19,24.0,100,0,10,0,23,00:00:00,Sticking to my timetable ,Eating good food 
2023-04-04 12:10:40.081,CS,1,1,1,1,2,8,2000-09-08,22.0,520,0,70,4,999,00:00:00,The sun ,Chill in nature
2023-04-04 12:10:41.017,CS,1,0,1,0,2,1,1998-04-17,25.0,550,0,0,3,43,00:30:00,Working out,No class
2023-04-04 12:10:41.507,CS,1,NaN,1,1,1,1,2000-11-02,22.0,200,0,30,7,Random number,02:00:00,Nice weather,Kindness
2023-04-04 12:10:41.862,CS,NaN,0,1,0,1,1,1998-09-06,24.0,75,0,55,5,6,00:00:00,Good results,Prodictivity
2023-04-04 12:10:43.209,CS,1,0,NaN,1,1,8,2000-02-28,23.0,300,NaN,30,5,69,00:00:00,coffee,sunset
2023-04-04 12:10:44.747,Finance,1,NaN,1,0,1,1,1998-03-30,25.0,200,0,50,7,42,00:30:00,Sunny weather,No class
2023-04-04 12:10:44.894,CS,0,0,1,1,2,8,1998-06-12,24.0,300,0,99,5,22,01:40:00,Good food,Biking
2023-04-04 12:10:44.938,CS,1,0,1,1,2,1,1999-01-16,24.0,400,0,65,3,4,22:00:00,Nice weather,Friends
2023-04-04 12:10:45.347,CS,1,0,NaN,0,2,1,1996-04-22,26.0,581,0,100,3,22,01:00:00,No class,No exam
2023-04-04 12:10:46.302,AI,0,0,1,0,2,1,1999-08-12,23.0,120,0,30,5,35,02:00:00,Good breakfast,Good workout
2023-04-04 12:10:46.606,Finance,1,1,1,0,5,0,,,400,0,NaN,5,29,02:00:00,A day where I went to the gym,A productive day study-wise
2023-04-04 12:10:48.354,Finance,1,0,0,0,1,0,1997-06-02,25.0,200,0,10,0,7,01:00:00,Food,Sun
2023-04-04 12:10:48.481,CLS,0,0,1,0,1,1,1999-05-28,23.0,300,0,35,3,6,00:15:00,Vacation,Company
2023-04-04 12:10:48.605,Hum Lang Tech,1,0,1,0,2,0,2000-12-28,22.0,500,0,17,2,22,02:00:00,Good weather,Free time
2023-04-04 12:10:49.096,AI,1,0,1,1,2,8,1998-03-31,25.0,222,0,98,0,5,05:30:00,eat well,sleep well
2023-04-04 12:10:49.623,Comp Sci,1,1,1,1,2,8,1999-05-02,23.0,300,0,70,1,69,00:00:00,Coffee,Friends
2023-04-04 12:10:49.891,Hum Lang Tech,1,0,1,0,2,1,2000-11-06,22.0,200,0,10,2,5,00:00:00,good weather ,friends
2023-04-04 12:10:50.151,Finance,1,1,1,0,1,0,2000-06-02,22.0,350,0,0,4,6,22:00:00,food,sleep
2023-04-04 12:10:50.736,BA,1,0,1,0,2,1,,,150,0,15,5,8,00:30:00,Sun,Good night of sleep
2023-04-04 12:10:51.332,AI,0,0,1,0,2,1,2000-02-19,23.0,350,0,70,1,28,00:30:00,Good meal,Sun
2023-04-04 12:10:51.828,CS,1,0,1,0,1,0,1997-08-07,25.0,300,0,50,4,3,01:00:00,Music,Food
2023-04-04 12:10:53.064,CS,1,0,1,1,2,1,1997-05-01,25.0,580,0,60,1,8,00:00:00,Sun,Good food
